Date,Open,High,Low,Volume,Close
01/10/2014,387,391,381,26229400.00,384
02/10/2014,384,385,373,21777700.00,375
03/10/2014,375,378,358,30901200.00,360
04/10/2014,360,364,326,47236500.00,329
05/10/2014,329,342,289,83308096.00,321
06/10/2014,320,345,303,79011800.00,330
07/10/2014,331,339,320,49199900.00,336
08/10/2014,336,354,327,54736300.00,353
09/10/2014,353,383,348,83641104.00,365
10/10/2014,365,375,353,43665700.00,362
11/10/2014,361,367,356,13345200.00,362
12/10/2014,363,379,356,17552800.00,379
13/10/2014,378,397,369,35221400.00,390
14/10/2014,392,412,391,38491500.00,401
15/10/2014,401,402,389,25267100.00,395
16/10/2014,395,399,373,26990000.00,383
17/10/2014,383,385,375,13600700.00,384
18/10/2014,384,395,379,11416800.00,391
19/10/2014,391,394,386,5914570.00,390
20/10/2014,389,390,378,16419000.00,383
21/10/2014,382,393,381,14188900.00,386
22/10/2014,386,389,382,11641300.00,383
23/10/2014,383,385,356,26456900.00,358
24/10/2014,359,364,353,15585700.00,358
25/10/2014,359,360,343,18127500.00,347
26/10/2014,347,359,344,11272500.00,355
27/10/2014,355,359,350,13033000.00,353
28/10/2014,353,360,353,7845880.00,358
29/10/2014,357,358,335,18192700.00,336
30/10/2014,336,351,335,30177900.00,345
31/10/2014,345,348,337,12545400.00,338
01/11/2014,339,341,321,16677200.00,326
02/11/2014,326,329,321,8603620.00,326
03/11/2014,326,334,325,12948500.00,328
04/11/2014,327,332,325,15655500.00,330
05/11/2014,331,343,331,19817200.00,339
06/11/2014,339,353,338,18797000.00,349
07/11/2014,350,353,342,16834200.00,342
08/11/2014,342,347,342,8535470.00,345
09/11/2014,345,364,344,24205600.00,363
10/11/2014,362,375,358,30450100.00,367
11/11/2014,366,371,364,15838900.00,368
12/11/2014,368,430,368,45783200.00,424
13/11/2014,427,457,401,58945000.00,421
14/11/2014,418,419,385,29589200.00,398
15/11/2014,400,406,371,15727500.00,376
16/11/2014,375,391,375,11905600.00,388
17/11/2014,388,410,378,41518800.00,387
18/11/2014,388,392,371,32222500.00,375
19/11/2014,374,386,374,18931800.00,381
20/11/2014,380,382,357,25233200.00,358
21/11/2014,358,358,344,29850100.00,351
22/11/2014,352,365,351,15273000.00,353
23/11/2014,353,371,353,15151600.00,368
24/11/2014,367,387,367,30930100.00,377
25/11/2014,377,395,375,25442200.00,375
26/11/2014,376,378,366,18601700.00,368
27/11/2014,371,374,368,8748030.00,370
28/11/2014,369,383,358,22946500.00,376
29/11/2014,376,388,372,15375600.00,375
30/11/2014,376,383,373,9194440.00,378
01/12/2014,378,384,377,11763000.00,379
02/12/2014,379,384,378,12364100.00,381
03/12/2014,382,383,374,13340100.00,375
04/12/2014,376,379,368,14529600.00,370
